county_name,crime_rate_per_100000,MURDER,RAPE,ROBBERY,AGASSLT,BURGLRY,LARCENY,MVTHEFT,ARSON,population,Households,Mean,Stdev
"Hudspeth County, TX",60.27727547,0,0,0,2,11,18,1,0,3318,454.0,92185.0108507067,59526166.82203169
"Webster County, MS",60.07810153,0,0,1,5,13,21,1,0,9987,393.0,84490.6809127389,119052333.64406338
"Lincoln County, WY",59.89980396,0,0,0,11,38,89,4,1,18364,3712.0,112464.36575284116,773840168.6864121
"Breckinridge County, KY",59.88023952,0,6,1,6,37,26,9,2,20040,918.0,73591.6326820409,119052333.64406338
"Addison County, VT",59.79723302,0,4,2,16,183,356,17,3,36791,766.0,102463.71329740199,59526166.82203169
"Schoharie County, NY",59.66587112,0,6,1,12,133,333,12,0,31844,1801.0,119820.47673433175,119052333.64406338
"Ringgold County, IA",59.14826498,0,0,0,3,3,7,0,0,5072,1022.0,94264.59693179671,357157000.9321901
"Lewis County, MO",59.10165485,0,1,1,4,35,80,11,1,10152,852.0,72139.73212260277,238104667.28812677
"Washakie County, WY",59.08070424,0,0,0,5,2,44,1,0,8463,121.0,72569.10159510838,59526166.82203169
"Custer County, SD",59.04581956,0,1,0,4,8,21,4,0,8468,66.0,37302.4102410707,59526166.82203169
"Cumberland County, KY",58.918839299999995,0,1,1,2,32,14,4,0,6789,669.0,37644.552851893626,119052333.64406338
"Brunswick County, VA",58.91710364,0,1,2,7,56,79,13,1,16973,723.0,91125.14815476778,238104667.28812677
"Noble County, IN",58.86062645,0,7,2,19,145,486,15,1,47570,3662.0,84021.81001425657,297630834.11015844
"Orange County, VT",58.79301401,1,7,1,8,192,238,18,10,28915,500.0,80915.8079741392,59526166.82203169
"Hanson County, SD",58.73715125,0,1,0,1,1,2,0,0,3405,216.0,83360.75017135913,119052333.64406338
"Woodford County, IL",58.56440812,0,3,1,19,66,308,10,1,39273,4396.0,110653.19195201338,476209334.5762535
"McCone County, MT",58.51375073,1,0,0,0,0,5,0,1,1709,289.0,138487.47435074698,59526166.82203169
"Jackson County, MN",58.47953216,0,0,1,5,14,84,3,0,10260,416.0,75121.1434307151,238104667.28812677
"Teton County, ID",58.39416058,0,2,0,4,26,29,1,0,10275,816.0,90023.1384077272,119052333.64406338
"Johnson County, NE",58.32037325,0,0,0,3,1,20,2,0,5144,988.0,85055.75949023639,178578500.4660951
"Parke County, IN",58.13277526,0,2,1,7,17,19,1,1,17202,1850.0,57565.91932465469,297630834.11015844
"Green Lake County, WI",58.01993776,0,3,1,7,50,270,11,2,18959,3943.0,84709.68554154829,238104667.28812677
"Juab County, UT",57.98221879,0,2,0,4,31,141,10,0,10348,1996.0,73205.16709411723,178578500.4660951
"Sussex County, NJ",57.53739931,5,9,22,48,416,1356,35,3,145992,14600.0,142743.6038025363,654787835.0423486
"Hancock County, MS",57.06008866,4,4,11,7,77,290,17,3,45566,8040.0,110086.69361173997,119052333.64406338
"Hardin County, OH",56.88821466,0,4,6,8,268,550,11,5,31641,4749.0,63392.91617283183,416683167.7542218
"Columbia County, GA",56.861818400000004,1,12,22,42,451,2035,110,11,135416,24328.0,154882.8604010238,178578500.4660951
"Spencer County, KY",56.69898509,0,4,2,4,53,87,7,1,17637,1032.0,96576.8558688594,119052333.64406338
"Powell County, KY",56.02689291,0,1,1,4,85,84,8,0,12494,1049.0,95610.3442379903,59526166.82203169
"Bedford County, VA",55.85392052,1,8,2,28,231,515,41,2,69825,4543.0,126003.49442306568,178578500.4660951
"Sarpy County, NE",55.51257596,1,37,22,34,331,2046,210,12,169331,24047.0,115641.87061491277,178578500.4660951
"Harrison County, IA",55.43621371,0,0,0,8,33,115,15,1,14431,2052.0,94437.5750095003,357157000.9321901
"Copiah County, MS",55.32312161,1,0,1,14,50,66,6,2,28921,2769.0,91681.21032380716,119052333.64406338
"Tillamook County, OR",55.29881108,0,5,2,7,137,382,17,5,25317,4324.0,94383.05516119332,714314001.8643804
"Lafayette County, AR",55.15719801,0,1,0,3,30,32,0,1,7252,1138.0,74460.55185310122,119052333.64406338
"Jackson County, WV",54.83583522,0,1,2,13,49,179,16,1,29178,1550.0,72665.41700344361,59526166.82203169
"DeKalb County, MO",54.51713396,0,0,0,7,25,45,11,0,12840,1937.0,84415.16904647877,297630834.11015844
"Grant Parish, LA",54.47117567,0,1,0,11,77,176,6,1,22030,482.0,86185.90325893961,238104667.28812677
